0.7838 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
21.2036 	EXP 	fixation: autoDraw = True
21.6756 	EXP 	fixation: autoDraw = False
21.6756 	EXP 	image_stim: autoDraw = True
21.6756 	EXP 	text_stim: autoDraw = True
21.6756 	EXP 	button_left: autoDraw = True
21.6756 	EXP 	trial_label_left: autoDraw = True
21.6756 	EXP 	button_right: autoDraw = True
21.6756 	EXP 	trial_label_right: autoDraw = True
22.4519 	DATA 	Mouse: Left button down, pos=(597,205)
22.4769 	EXP 	fixation: autoDraw = False
22.4769 	EXP 	image_stim: autoDraw = False
22.4769 	EXP 	text_stim: autoDraw = False
22.4769 	EXP 	button_left: autoDraw = False
22.4769 	EXP 	trial_label_left: autoDraw = False
22.4769 	EXP 	button_right: autoDraw = False
22.4769 	EXP 	trial_label_right: autoDraw = False
22.4769 	EXP 	feedback_msg: text = '+'
22.4769 	EXP 	feedback_msg: autoDraw = True
22.5437 	DATA 	Mouse:  Left button up, pos=(597,205)
23.4750 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Happy'), ('CorrAns', 'a')])
23.5017 	EXP 	feedback_msg: autoDraw = False
23.5017 	EXP 	image_stim: image = 'stimuli/blank.png'
23.5017 	EXP 	text_stim: text = 'Happy'
23.5017 	EXP 	trial_label_left: text = 'A = \nPositive'
23.5017 	EXP 	trial_label_right: text = 'L = \nNegative'
23.5017 	EXP 	fixation: autoDraw = True
23.9714 	EXP 	fixation: autoDraw = False
23.9714 	EXP 	image_stim: autoDraw = True
23.9714 	EXP 	text_stim: autoDraw = True
23.9714 	EXP 	button_left: autoDraw = True
23.9714 	EXP 	trial_label_left: autoDraw = True
23.9714 	EXP 	button_right: autoDraw = True
23.9714 	EXP 	trial_label_right: autoDraw = True
24.5964 	DATA 	Mouse: Left button down, pos=(591,229)
24.6520 	EXP 	fixation: autoDraw = False
24.6520 	EXP 	image_stim: autoDraw = False
24.6520 	EXP 	text_stim: autoDraw = False
24.6520 	EXP 	button_left: autoDraw = False
24.6520 	EXP 	trial_label_left: autoDraw = False
24.6520 	EXP 	button_right: autoDraw = False
24.6520 	EXP 	trial_label_right: autoDraw = False
24.6520 	EXP 	feedback_msg: text = '+'
24.6520 	EXP 	feedback_msg: autoDraw = True
24.6967 	DATA 	Mouse:  Left button up, pos=(591,228)
25.6450 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimImage', 'stimuli/blank.png'), ('stimWord', 'Joy'), ('CorrAns', 'a')])
25.6724 	EXP 	feedback_msg: autoDraw = False
25.6724 	EXP 	image_stim: image = 'stimuli/blank.png'
25.6724 	EXP 	text_stim: text = 'Joy'
25.6724 	EXP 	trial_label_left: text = 'A = \nPositive'
25.6724 	EXP 	trial_label_right: text = 'L = \nNegative'
25.6724 	EXP 	fixation: autoDraw = True
26.1621 	EXP 	fixation: autoDraw = False
