instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,2.1766,,,,,,,,2.1766,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.1614,,,,,,,,1.1614,1,0,2,2,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,0.9769,,,,,,,,0.9769,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,3.226,,,,,,,,3.226,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.3128,,,,,,,,1.3128,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,3.4608,,,,,,,,3.4608,1,0,6,6,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.1562,,,,,,,,1.1562,1,0,7,7,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.7959,,,,,,,,1.7959,1,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.0749,,,,,,,,1.0749,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.6265,,,,,,,,1.6265,1,0,10,10,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.8129,,,,,,,,1.8129,1,0,11,11,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.7299,,,,,,,,1.7299,1,0,12,12,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.2948,,,,,,,,1.2948,1,0,13,13,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.5311,,,,,,,,1.5311,1,0,14,14,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,0.8797,,,,,,,,0.8797,1,0,15,15,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.3717,,,,,,,,1.3717,1,0,16,16,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,1.2288,,,,,,,,1.2288,1,0,17,17,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,l,1,0.734,,,,,,,,0.734,1,0,18,18,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cia,2,001,female,2023-11-08_21h22.34.530,openIAT,2020.1.0rc3,MacIntel,60,,a,1,1.1274,,,,,,,,1.1274,1,0,19,19,18,1,stimuli/blank.png,Joy,a,,,,,,,,
